topic,trends_growth_pct_topic,recent_3yr_works,prior_3yr_works,openalex_growth_pct,trends_growth_clipped,openalex_growth_clipped,emergence_score
Perimenopause and memory,117.8,75,32,134.375,117.8,134.375,15829.375
Long COVID cognitive effects,121.7,585,320,82.8125,121.7,82.8125,10078.28125
ADHD in women,100.1,49,25,96.0,100.1,96.0,9609.599999999999
Neurodiversity (adult-diagnosed),67.6,155,69,124.63768115942028,67.6,124.63768115942028,8425.50724637681
Postpartum cognitive changes,133.3,69,57,21.052631578947366,133.3,21.052631578947366,2806.315789473684
Executive function support,105.0,97559,80067,21.846703385914296,105.0,21.846703385914296,2293.903855521001
Sleep and cognition,217.9,3227,2993,7.818242565987303,217.9,7.818242565987303,1703.5950551286332
Brain fog,53.1,6434,4881,31.81725056340914,53.1,31.81725056340914,1689.4960049170254
